Bezeichnung;Zeit;Wert;Einheit
NS_NSM;1920_06;23;mm
NS_NSM;1920_07;90;mm
NS_NSM;1920_08;54;mm
NS_NSM;1920_09;80;mm
NS_NSM;1920_10;14;mm
NS_NSM;1920_11;9;mm
NS_NSM;1920_12;51;mm
NS_NSM;1921_01;69;mm
NS_NSM;1921_02;20;mm
NS_NSM;1921_03;13;mm
NS_NSM;1921_04;19;mm
NS_NSM;1921_05;29;mm
NS_NSM;1921_06;40;mm
NS_NSM;1921_07;14;mm
NS_NSM;1921_08;37;mm
NS_NSM;1921_09;34;mm
NS_NSM;1921_10;20;mm
NS_NSM;1921_11;33;mm
NS_NSM;1921_12;42;mm
NS_NSM;1922_01;69;mm
NS_NSM;1922_02;43;mm
NS_NSM;1922_03;37;mm
NS_NSM;1922_04;77;mm
NS_NSM;1922_05;60;mm
NS_NSM;1922_06;41;mm
NS_NSM;1922_07;73;mm
NS_NSM;1922_08;88;mm
NS_NSM;1922_09;88;mm
NS_NSM;1922_10;43;mm
NS_NSM;1922_11;68;mm
NS_NSM;1922_12;71;mm
NS_NSM;1923_01;52;mm
NS_NSM;1923_02;60;mm
NS_NSM;1923_03;69;mm
NS_NSM;1923_04;27;mm
NS_NSM;1923_05;82;mm
NS_NSM;1923_06;66;mm
NS_NSM;1923_07;27;mm
NS_NSM;1923_08;36;mm
NS_NSM;1923_09;45;mm
NS_NSM;1923_10;108;mm
NS_NSM;1923_11;40;mm
NS_NSM;1923_12;64;mm
NS_NSM;1924_01;35;mm
NS_NSM;1924_02;58;mm
NS_NSM;1924_03;31;mm
NS_NSM;1924_04;57;mm
NS_NSM;1924_05;103;mm
NS_NSM;1924_06;52;mm
NS_NSM;1924_07;94;mm
NS_NSM;1924_08;176;mm
NS_NSM;1924_09;80;mm
NS_NSM;1924_10;50;mm
NS_NSM;1924_11;37;mm
NS_NSM;1924_12;17;mm
NS_NSM;1925_01;67;mm
NS_NSM;1925_02;32;mm
NS_NSM;1925_03;51;mm
NS_NSM;1925_04;34;mm
NS_NSM;1925_05;44;mm
NS_NSM;1925_06;43;mm
NS_NSM;1925_07;79;mm
NS_NSM;1925_08;83;mm
NS_NSM;1925_09;74;mm
NS_NSM;1925_10;68;mm
NS_NSM;1925_11;68;mm
NS_NSM;1925_12;74;mm
NS_NSM;1926_01;50;mm
NS_NSM;1926_02;81;mm
NS_NSM;1926_03;42;mm
NS_NSM;1926_04;29;mm
NS_NSM;1926_05;108;mm
NS_NSM;1926_06;53;mm
NS_NSM;1926_07;93;mm
NS_NSM;1926_08;53;mm
NS_NSM;1926_09;25;mm
NS_NSM;1926_10;99;mm
NS_NSM;1926_11;73;mm
NS_NSM;1926_12;52;mm
NS_NSM;1927_01;30;mm
NS_NSM;1927_02;47;mm
NS_NSM;1927_03;40;mm
NS_NSM;1927_04;59;mm
NS_NSM;1927_05;33;mm
NS_NSM;1927_06;72;mm
NS_NSM;1927_07;92;mm
NS_NSM;1927_08;116;mm
NS_NSM;1927_09;56;mm
NS_NSM;1927_10;12;mm
NS_NSM;1927_11;79;mm
NS_NSM;1927_12;29;mm
NS_NSM;1928_01;45;mm
NS_NSM;1928_02;47;mm
NS_NSM;1928_03;19;mm
NS_NSM;1928_04;88;mm
NS_NSM;1928_05;36;mm
NS_NSM;1928_06;82;mm
NS_NSM;1928_07;61;mm
NS_NSM;1928_08;77;mm
NS_NSM;1928_09;18;mm
NS_NSM;1928_10;74;mm
NS_NSM;1928_11;89;mm
NS_NSM;1928_12;53;mm
NS_NSM;1929_01;21;mm
NS_NSM;1929_02;15;mm
NS_NSM;1929_03;5;mm
NS_NSM;1929_04;60;mm
NS_NSM;1929_05;31;mm
NS_NSM;1929_06;28;mm
NS_NSM;1929_07;77;mm
NS_NSM;1929_08;29;mm
NS_NSM;1929_09;17;mm
NS_NSM;1929_10;99;mm
NS_NSM;1929_11;44;mm
NS_NSM;1929_12;74;mm
NS_NSM;1930_01;19;mm
NS_NSM;1930_02;8;mm
NS_NSM;1930_03;29;mm
NS_NSM;1930_04;62;mm
NS_NSM;1930_05;63;mm
NS_NSM;1930_06;34;mm
NS_NSM;1930_07;114;mm
NS_NSM;1930_08;71;mm
NS_NSM;1930_09;71;mm
NS_NSM;1930_10;51;mm
NS_NSM;1930_11;100;mm
NS_NSM;1930_12;30;mm
NS_NSM;1931_01;86;mm
NS_NSM;1931_02;44;mm
NS_NSM;1931_03;33;mm
NS_NSM;1931_04;61;mm
NS_NSM;1931_05;37;mm
NS_NSM;1931_06;56;mm
NS_NSM;1931_07;66;mm
NS_NSM;1931_08;125;mm
NS_NSM;1931_09;34;mm
NS_NSM;1931_10;40;mm
NS_NSM;1931_11;17;mm
NS_NSM;1931_12;39;mm
NS_NSM;1932_01;35;mm
NS_NSM;1932_02;14;mm
NS_NSM;1932_03;26;mm
NS_NSM;1932_04;61;mm
NS_NSM;1932_05;51;mm
NS_NSM;1932_06;26;mm
NS_NSM;1932_07;64;mm
NS_NSM;1932_08;37;mm
NS_NSM;1932_09;97;mm
