month_day,reference_period,tasmin,tas,tasmax
08-09,1971-2000,12.674232,18.030851,23.638998
08-10,1971-2000,12.839296,17.98349,23.76469
08-11,1971-2000,12.840533,17.731136,23.218615
08-12,1971-2000,12.75768,17.726305,23.275255
08-13,1971-2000,12.499617,17.379763,23.067358
08-14,1971-2000,12.379053,18.125036,24.07648
08-15,1971-2000,12.9809,18.350416,24.365213
08-16,1971-2000,12.857971,17.802982,23.62653
08-17,1971-2000,12.2474785,16.98118,22.71313
08-18,1971-2000,11.619898,16.718788,22.355257
08-19,1971-2000,11.941534,17.194466,22.902262
08-20,1971-2000,12.468043,17.14276,22.604353
08-21,1971-2000,12.151082,16.832531,22.380146
08-22,1971-2000,11.810373,16.649258,22.15371
08-23,1971-2000,11.637803,16.015326,21.558302
08-24,1971-2000,10.989168,15.932314,21.414106
08-25,1971-2000,11.221449,15.743243,21.13616
08-26,1971-2000,11.091278,15.771281,20.990612
08-27,1971-2000,11.416317,15.455242,20.553402
08-28,1971-2000,10.79204,15.028454,20.278194
08-29,1971-2000,10.314022,15.123082,20.718658
08-30,1971-2000,10.387343,15.326341,20.974438
08-31,1971-2000,10.617857,15.089223,20.548252
09-01,1971-2000,10.598868,15.046693,20.179554
09-02,1971-2000,10.737202,14.878701,19.875496
09-03,1971-2000,10.655303,14.675474,19.715342
09-04,1971-2000,10.376415,14.445876,19.595886
09-05,1971-2000,9.807504,14.292178,19.675304
09-06,1971-2000,9.374349,13.831501,19.354229
09-07,1971-2000,9.232083,13.910195,19.182812
09-08,1971-2000,9.7920685,14.204805,19.35084
09-09,1971-2000,9.929586,14.222235,19.60418
09-10,1971-2000,9.693914,14.033686,19.183758
09-11,1971-2000,9.861381,13.968375,19.052816
09-12,1971-2000,9.503416,13.877202,19.038527
09-13,1971-2000,9.3462105,13.213464,18.26707
09-14,1971-2000,8.994363,13.137948,18.083515
09-15,1971-2000,9.0893345,13.07497,18.01324
09-16,1971-2000,8.751414,12.684449,17.724314
09-17,1971-2000,8.76671,12.968593,17.906286
09-18,1971-2000,8.930787,13.046765,18.138227
09-19,1971-2000,8.760739,13.129216,18.355062
09-20,1971-2000,8.774976,12.930022,18.142769
09-21,1971-2000,8.690115,13.073901,18.380573
09-22,1971-2000,8.891048,13.075732,18.382458
09-23,1971-2000,8.734767,12.588705,17.451498
09-24,1971-2000,8.798002,12.441487,17.108408
09-25,1971-2000,8.388093,12.197547,17.01807
09-26,1971-2000,8.020774,11.917123,16.87014
09-27,1971-2000,7.9046545,11.911562,16.918144
09-28,1971-2000,7.783287,11.758449,16.727213
09-29,1971-2000,7.784098,11.694648,16.53456
09-30,1971-2000,7.964862,11.643316,16.263021
10-01,1971-2000,7.3251595,11.086774,15.761181
10-02,1971-2000,7.188993,10.723807,15.283601
10-03,1971-2000,6.8110476,10.59341,15.296019
10-04,1971-2000,6.4687476,10.517983,15.374984
10-05,1971-2000,6.8450756,10.669068,15.368669
10-06,1971-2000,7.211049,10.922976,15.243475
10-07,1971-2000,7.386928,10.821942,15.230859
10-08,1971-2000,7.090468,10.447475,14.533092
10-09,1971-2000,7.0863504,10.624217,14.996961
10-10,1971-2000,6.887444,10.396534,15.1486
10-11,1971-2000,6.2892504,10.021229,14.593558
10-12,1971-2000,6.0187535,9.439311,14.082775
10-13,1971-2000,5.6611547,9.213564,13.750728
10-14,1971-2000,5.7267323,9.401197,13.77475
10-15,1971-2000,5.890436,9.266737,13.533656
10-16,1971-2000,5.2306213,8.762728,13.166164
10-17,1971-2000,4.7658467,8.00942,12.1821575
10-18,1971-2000,4.522159,7.906861,11.969779
10-19,1971-2000,4.5315943,7.9973884,12.060028
10-20,1971-2000,4.3958144,7.6049347,11.549072
10-21,1971-2000,4.010291,7.2128606,11.105164
10-22,1971-2000,3.8439686,7.6164546,11.607168
10-23,1971-2000,4.4623213,7.8765173,11.932069
10-24,1971-2000,4.281186,7.4507313,11.449064
10-25,1971-2000,3.8931012,7.2966056,11.24673
10-26,1971-2000,3.536494,6.7310624,10.828876
10-27,1971-2000,3.3485873,6.9369917,10.938038
