Date,Mean,Month
1984-01-01,78.23893805,1
1984-02-01,76.46017699,2
1984-03-01,19.02654867,3
1984-04-01,46.55752212,4
1984-05-01,152.7256637,5
1984-06-01,59.76106195,6
1984-07-01,67.17699115,7
1984-08-01,29.91150442,8
1984-09-01,161.0530973,9
1984-10-01,78.85840708,10
1984-11-01,59.0619469,11
1984-12-01,30.48672566,12
1985-01-01,57.71681416,1
1985-02-01,17.30973451,2
1985-03-01,53.3539823,3
1985-04-01,59.73451327,4
1985-05-01,58.0,5
1985-06-01,123.460177,6
1985-07-01,75.4159292,7
1985-08-01,44.22123894,8
1985-09-01,37.3539823,9
1985-10-01,10.62831858,10
1985-11-01,54.51327434,11
1985-12-01,51.46017699,12
1986-01-01,90.2300885,1
1986-02-01,7.902654867,2
1986-03-01,76.04424779,3
1986-04-01,63.89380531,4
1986-05-01,52.79646018,5
1986-06-01,58.92920354,6
1986-07-01,48.14159292,7
1986-08-01,50.66371681,8
1986-09-01,51.08849558,9
1986-10-01,72.59292035,10
1986-11-01,29.03539823,11
1986-12-01,86.01769912,12
1987-01-01,45.79646018,1
1987-02-01,75.22123894,2
1987-03-01,78.69911504,3
1987-04-01,35.67256637,4
1987-05-01,74.03539823,5
1987-06-01,103.380531,6
1987-07-01,83.74336283,7
1987-08-01,64.78761062,8
1987-09-01,47.89380531,9
1987-10-01,56.81415929,10
1987-11-01,73.89380531,11
1987-12-01,24.99115044,12
1988-01-01,58.87610619,1
1988-02-01,58.38938053,2
1988-03-01,133.4867257,3
1988-04-01,30.92920354,4
1988-05-01,52.08849558,5
1988-06-01,50.54867257,6
1988-07-01,96.83185841,7
1988-08-01,30.82300885,8
1988-09-01,58.34513274,9
1988-10-01,49.42477876,10
1988-11-01,54.53097345,11
1988-12-01,82.3539823,12
1989-01-01,20.02654867,1
1989-02-01,38.75221239,2
1989-03-01,56.5840708,3
1989-04-01,105.8230088,4
1989-05-01,22.12389381,5
1989-06-01,52.71681416,6
1989-07-01,53.60176991,7
1989-08-01,42.84955752,8
1989-09-01,38.3539823,9
1989-10-01,50.61946903,10
1989-11-01,24.2300885,11
1989-12-01,81.2920354,12
1990-01-01,36.95575221,1
1990-02-01,89.30973451,2
1990-03-01,27.2300885,3
1990-04-01,36.33628319,4
1990-05-01,20.0,5
1990-06-01,98.82300885,6
1990-07-01,35.07079646,7
1990-08-01,75.76106195,8
1990-09-01,78.82300885,9
1990-10-01,28.43362832,10
1990-11-01,62.08849558,11
1990-12-01,74.63716814,12
1991-01-01,42.26548673,1
1991-02-01,13.5840708,2
1991-03-01,36.53097345,3
1991-04-01,42.10619469,4
1991-05-01,28.39823009,5
1991-06-01,84.76106195,6
