Zeit,Wert,Einheit,SPI_1,SPI_3,SPI_6,SPI_12,SPI_24
1926-03-01,42,mm,-0.2879124502569444,0.6204288922358566,0.9873992102814431,0.6619816718390837,1.3761574699181836
1926-04-01,29,mm,-0.7478276252835545,0.3029346639020247,0.6402680333237928,0.5889829459778821,1.1758723642071698
1926-05-01,108,mm,1.5067521162525188,0.467895454410129,1.1032994969726655,1.2209719373549717,1.2397942359774534
1926-06-01,53,mm,-0.521588102136049,0.28961078755819747,0.5672344950879038,1.266191574585799,1.28467312971572
1926-07-01,93,mm,1.1690022205412953,1.225862092629646,0.9940624783434236,1.3432019957293913,1.2934401060999312
1926-08-01,53,mm,-0.038259177565059546,0.13698422482003006,0.36892200533808484,1.2331499187238477,0.5721362774976884
1926-09-01,25,mm,-1.2181622010127247,-0.13881470141812322,0.06737588445859317,0.7651453368644652,0.12868030007315603
1926-10-01,99,mm,1.3959842869015278,0.29198768609428544,0.8817843141107625,1.0562616118791686,0.4586987550982375
1926-11-01,73,mm,0.8974318053206031,0.6989691009743176,0.5293237610992855,1.061672509078942,0.6903603963768427
1926-12-01,52,mm,-0.05864940958988797,1.1725297529998868,0.6962486973804525,0.8526651567431708,0.9317842851709216
1927-01-01,30,mm,-0.6756321612831947,-0.13913056868820517,0.07216233502319001,0.6378233812603392,0.6603067758802388
1927-02-01,47,mm,0.38412098043223747,-0.361833477034968,0.2479993363922431,0.33629931798623414,0.7794773798608999
1927-03-01,40,mm,-0.37005358915511455,-0.6049014432425058,0.4590891682773961,0.3068366634789889,0.6729135910287343
1927-04-01,59,mm,0.7259862019157038,0.17230333915764742,-0.026805363874485334,0.5623171356485194,0.8033132916389478
1927-05-01,33,mm,-1.0795235647980919,-0.676828520080947,-0.7649354966987453,-0.13878653690246578,0.7552597105422237
1927-06-01,72,mm,0.12749984866888145,-0.2707933217150977,-0.6580281104527899,0.05448803981509067,0.9651075679542125
1927-07-01,92,mm,1.1340521760117395,-0.0006360834304283769,0.06148026272338783,0.04741417015733136,1.0638496678068878
1927-08-01,116,mm,1.9069248516767514,1.6557879041858914,0.8913268132080823,0.7115202093056835,1.4732620783285257
1927-09-01,56,mm,0.159986573582705,1.8337427539483901,1.1430723732221721,1.0064179698491558,1.265575031299508
1927-10-01,12,mm,-1.839284910679111,0.41331081543746084,0.2544447527186791,0.13302175498881816,0.8363836552803937
1927-11-01,79,mm,1.129065881845146,-0.24042310989300839,0.910234026512172,0.2013881930476633,0.8805105902004924
1927-12-01,29,mm,-1.0386328109728555,-0.9879128998934027,0.558411919432758,-0.04851177684773974,0.5692933215146562
1928-01-01,45,mm,-0.024769189390929782,-0.19007641467738157,0.13539304403156846,0.10125142583094336,0.5301618191785085
1928-02-01,47,mm,0.38412098043223747,-0.5550860215360096,-0.5489212138033894,0.09519431524657557,0.31555901038209855
1928-03-01,19,mm,-1.4844425899711884,-0.7582010770256985,-1.170326883643734,-0.11080574774278204,0.15053428307656663
1928-04-01,88,mm,1.7403489060290627,0.3457164668706828,0.06992600709463134,0.16260833944447708,0.5092053301654996
1928-05-01,36,mm,-0.9214618496754443,-0.3870196923243359,-0.7129961082870225,0.20331429302741155,0.04614753614668855
1928-06-01,82,mm,0.42344666164747513,0.6094729328974325,-0.09412608322501954,0.2935990093026642,0.2352519007307068
1928-07-01,61,mm,-0.1023440233822871,-0.4366077542965314,-0.0967805464763182,0.00047974708432059915,0.016196324936817944
1928-08-01,77,mm,0.823028162986887,0.5649232747810277,0.12851921898291463,-0.3823687881844789,0.2551958634403619
1928-09-01,18,mm,-1.6918979470061732,-0.5201244235115012,0.08436632900508345,-0.8206517919716408,0.18086173713275344
1928-10-01,74,mm,0.8078522259724867,0.14936787290240294,-0.19018760467588283,-0.1505753103355117,-0.032565734186647745
1928-11-01,89,mm,1.491071664065348,0.4176029677897625,0.5920604164346231,-0.025496717880808775,0.08340176946646774
1928-12-01,53,mm,-0.023547905647311834,1.033775015468954,0.40503405693831335,0.19168278902174135,0.07445368703762907
1929-01-01,21,mm,-1.1856182588312802,0.060363745262567346,0.07216233502319001,-0.04244140372941922,0.04451037288356038
1929-02-01,15,mm,-1.2342162633489635,-1.429665527622855,-0.5196038631091998,-0.3939386834528142,-0.17815650357641355
1929-03-01,5,mm,-3.010837969083545,-3.09,-0.7444409764249578,-0.5159882081817055,-0.4066919679740976
1929-04-01,60,mm,0.7657155756810796,-1.589036772582102,-1.0365131947901611,-0.7831086690620671,-0.4139503904076341
1929-05-01,31,mm,-1.1905949770412678,-1.7596690158797568,-2.244045418909305,-0.8933967743584716,-0.4409036879497022
