Date,Mean
6/1/1983,57.0619469
7/1/1983,32.2300885
8/1/1983,27.45132743
9/1/1983,43.77876106
11/1/1983,39.88495575
12/1/1983,45.71681416
1/1/1984,78.23893805
2/1/1984,76.46017699
3/1/1984,19.02654867
4/1/1984,46.55752212
5/1/1984,152.7256637
6/1/1984,59.76106195
7/1/1984,67.17699115
8/1/1984,29.91150442
9/1/1984,161.0530973
10/1/1984,78.85840708
11/1/1984,59.0619469
12/1/1984,30.48672566
1/1/1985,57.71681416
2/1/1985,17.30973451
3/1/1985,53.3539823
4/1/1985,59.73451327
5/1/1985,58
6/1/1985,123.460177
7/1/1985,75.4159292
8/1/1985,44.22123894
9/1/1985,37.3539823
10/1/1985,10.62831858
11/1/1985,54.51327434
12/1/1985,51.46017699
1/1/1986,90.2300885
2/1/1986,7.902654867
3/1/1986,76.04424779
4/1/1986,63.89380531
5/1/1986,52.79646018
6/1/1986,58.92920354
7/1/1986,48.14159292
8/1/1986,50.66371681
9/1/1986,51.08849558
10/1/1986,72.59292035
11/1/1986,29.03539823
12/1/1986,86.01769912
1/1/1987,45.79646018
2/1/1987,75.22123894
3/1/1987,78.69911504
4/1/1987,35.67256637
5/1/1987,74.03539823
6/1/1987,103.380531
7/1/1987,83.74336283
8/1/1987,64.78761062
9/1/1987,47.89380531
10/1/1987,56.81415929
11/1/1987,73.89380531
12/1/1987,24.99115044
1/1/1988,58.87610619
2/1/1988,58.38938053
3/1/1988,133.4867257
4/1/1988,30.92920354
5/1/1988,52.08849558
6/1/1988,50.54867257
7/1/1988,96.83185841
8/1/1988,30.82300885
9/1/1988,58.34513274
10/1/1988,49.42477876
11/1/1988,54.53097345
12/1/1988,82.3539823
1/1/1989,20.02654867
2/1/1989,38.75221239
3/1/1989,56.5840708
4/1/1989,105.8230088
5/1/1989,22.12389381
6/1/1989,52.71681416
7/1/1989,53.60176991
8/1/1989,42.84955752
9/1/1989,38.3539823
10/1/1989,50.61946903
11/1/1989,24.2300885
12/1/1989,81.2920354
1/1/1990,36.95575221
2/1/1990,89.30973451
3/1/1990,27.2300885
4/1/1990,36.33628319
5/1/1990,20
6/1/1990,98.82300885
7/1/1990,35.07079646
8/1/1990,75.76106195
9/1/1990,78.82300885
10/1/1990,28.43362832
11/1/1990,62.08849558
12/1/1990,74.63716814
1/1/1991,42.26548673
2/1/1991,13.5840708
3/1/1991,36.53097345
4/1/1991,42.10619469
5/1/1991,28.39823009
6/1/1991,84.76106195
7/1/1991,55.33628319
8/1/1991,47.33628319
9/1/1991,38.78761062
10/1/1991,35.54867257
11/1/1991,76.03539823
12/1/1991,74.63716814
1/1/1992,27.68141593
2/1/1992,28.84955752
3/1/1992,73.45132743
4/1/1992,41.39823009
5/1/1992,30.16814159
6/1/1992,128.4690265
7/1/1992,70.77876106
8/1/1992,89.31858407
9/1/1992,37.92035398
10/1/1992,72.81415929
11/1/1992,63.27433628
12/1/1992,56.9380531
1/1/1993,73.26548673
2/1/1993,30.12389381
3/1/1993,5.371681416
4/1/1993,39.30088496
5/1/1993,59.01769912
6/1/1993,33.21238938
7/1/1993,98.87610619
8/1/1993,36.28318584
9/1/1993,132.9911504
10/1/1993,87.51327434
11/1/1993,38.84070796
12/1/1993,136.300885
1/1/1994,75.05309735
2/1/1994,27.55752212
3/1/1994,76.98230088
4/1/1994,39.26548673
5/1/1994,59.09734513
6/1/1994,61.57522124
7/1/1994,39.10619469
8/1/1994,62.15044248
9/1/1994,73.84955752
10/1/1994,40.52212389
11/1/1994,50.61946903
12/1/1994,56.92035398
1/1/1995,111.5486726
2/1/1995,68.08849558
3/1/1995,69.36283186
4/1/1995,41.75221239
5/1/1995,39.61061947
6/1/1995,61.65486726
7/1/1995,83.9380531
8/1/1995,25.34513274
9/1/1995,56.18584071
10/1/1995,27.56637168
11/1/1995,48.08849558
12/1/1995,41.6460177
1/1/1996,8.769911504
2/1/1996,42.65486726
3/1/1996,22.79646018
4/1/1996,7.353982301
5/1/1996,67.20353982
6/1/1996,31.56637168
7/1/1996,51.78761062
8/1/1996,112.1769912
9/1/1996,37.69911504
10/1/1996,64.42477876
11/1/1996,60.62831858
12/1/1996,40.26548673
1/1/1997,5.318584071
2/1/1997,67.11504425
3/1/1997,35.38053097
4/1/1997,54.68141593
5/1/1997,80.67256637
6/1/1997,127.2212389
7/1/1997,66.18584071
8/1/1997,43.18584071
9/1/1997,29.02654867
10/1/1997,48.50442478
11/1/1997,36.09734513
12/1/1997,64.59292035
1/1/1998,31.53097345
2/1/1998,8.053097345
3/1/1998,58.75221239
4/1/1998,75.24778761
5/1/1998,69.27433628
6/1/1998,116.6725664
7/1/1998,40.32743363
8/1/1998,44.10619469
9/1/1998,112.1946903
10/1/1998,133.0530973
11/1/1998,71.94690265
12/1/1998,35.91150442
1/1/1999,70.50442478
2/1/1999,66.0619469
3/1/1999,44.72566372
4/1/1999,69.09734513
5/1/1999,47.7079646
6/1/1999,60.05309735
7/1/1999,57.39823009
8/1/1999,61.30973451
9/1/1999,65.26548673
10/1/1999,34.69026549
11/1/1999,34.0619469
12/1/1999,80.30973451
1/1/2000,33.46902655
2/1/2000,89.31858407
3/1/2000,52.92920354
4/1/2000,39.91150442
5/1/2000,53.09734513
6/1/2000,57.63716814
7/1/2000,194.7168142
8/1/2000,73.42477876
9/1/2000,84.81415929
10/1/2000,62.52212389
11/1/2000,36.88495575
12/1/2000,39.79646018
1/1/2001,63.17699115
2/1/2001,64.94690265
3/1/2001,78.69911504
4/1/2001,77.71681416
5/1/2001,26.62831858
6/1/2001,81.83185841
7/1/2001,49.44247788
8/1/2001,41.92920354
9/1/2001,121.8230088
10/1/2001,45.72566372
11/1/2001,92.87610619
1/1/2002,46.33628319
2/1/2002,112.2477876
3/1/2002,48.86725664
4/1/2002,53.81415929
5/1/2002,57.13274336
6/1/2002,54.69911504
7/1/2002,88.99115044
8/1/2002,87.34513274
9/1/2002,23.50442478
10/1/2002,76.68141593
11/1/2002,90.10619469
12/1/2002,74.56637168
1/1/2003,61.92920354
2/1/2003,19.23893805
3/1/2003,40.63716814
4/1/2003,41.2300885
5/1/2003,58.30973451
6/1/2003,52.65486726
7/1/2003,52.84955752
8/1/2003,44.38938053
9/1/2003,42.33628319
10/1/2003,80
11/1/2003,32.2300885
12/1/2003,47.16814159
1/1/2004,82.61946903
2/1/2004,44.73451327
3/1/2004,26.31858407
4/1/2004,54.69026549
5/1/2004,52.14159292
6/1/2004,56.84955752
7/1/2004,90.7079646
8/1/2004,97.95575221
9/1/2004,63.2920354
10/1/2004,31.11504425
11/1/2004,74.67256637
12/1/2004,38.30088496
